Event,True,Attack,STRIDE,Context,Score,DREAD_Level,Frequency,Final Risk,Risk_Level
39,SIGNAL_ATTACK,SIGNAL_ATTACK,Spoofing,Camera / Perception,18,HIGH,14,16.8,HIGH
40,SIGNAL_ATTACK,SIGNAL_ATTACK,Spoofing,Camera / Perception,19,HIGH,15,17.8,HIGH
41,DOS_ATTACK,DOS_ATTACK,Denial of Service,Sensor Layer,18,HIGH,8,15.0,HIGH
42,SIGNAL_ATTACK,DOS_ATTACK,Denial of Service,Sensor Layer,16,HIGH,9,13.9,HIGH
43,SIGNAL_ATTACK,SIGNAL_ATTACK,Spoofing,Camera / Perception,19,HIGH,16,18.1,HIGH
44,SIGNAL_ATTACK,MOTION_ATTACK,Tampering,ECU / Control,15,HIGH,19,16.2,HIGH
45,SIGNAL_ATTACK,DOS_ATTACK,Denial of Service,Sensor Layer,18,HIGH,10,15.6,HIGH
46,DOS_ATTACK,MOTION_ATTACK,Tampering,ECU / Control,20,HIGH,20,20.0,HIGH
47,SIGNAL_ATTACK,SIGNAL_ATTACK,Spoofing,Camera / Perception,18,HIGH,17,17.7,HIGH
48,DOS_ATTACK,DOS_ATTACK,Denial of Service,Sensor Layer,17,HIGH,11,15.2,HIGH
49,DOS_ATTACK,DOS_ATTACK,Denial of Service,Sensor Layer,15,HIGH,12,14.1,HIGH
50,SIGNAL_ATTACK,DOS_ATTACK,Denial of Service,Sensor Layer,15,HIGH,13,14.4,HIGH
